Mesures enregistrées le 23/05/23 à 18:03

 Données n°1 ------------------------------------------

Nuage de points : Nuage 1

X	;	Y	;	Z
0.27434084087343985	;	0.086806915250213	;	0.277356535025663
0.28172581104675065	;	0.086329554933921	;	0.27824098706882266
0.28848550348489094	;	0.08620158016884	;	0.2789084423294297
0.30567980648498666	;	0.08611548613007	;	0.2777709036919647
0.3136549270155801	;	0.086446357321299	;	0.2792208684393749
0.3222828492822651	;	0.086183035123687	;	0.2780665159991095
0.3272498608058139	;	0.086590231033992	;	0.2772650564082644
0.32490995138617923	;	0.085924463550006	;	0.2853771013078933
0.3166970210246168	;	0.086099409321288	;	0.2865881229734301
0.30763546187616	;	0.086258408475258	;	0.28510579497207916
0.31458592285673875	;	0.086082534846567	;	0.2925336494107811
0.32162801640800737	;	0.085793193000919	;	0.2919834754585846
0.3265745003949701	;	0.086128062755961	;	0.29461577426335106
0.32522806154993594	;	0.085966292909302	;	0.2999120707534324
0.32001168599855023	;	0.0857947473154	;	0.30064696280632014
0.3210525824907161	;	0.085761318882179	;	0.3078946496286178
0.3262958715086777	;	0.085782508736932	;	0.3056632891366169
0.31769034065640495	;	0.085496546921871	;	0.3131489743939479
0.3230990709085463	;	0.08575550844277	;	0.3137962265686199
0.3181630845940549	;	0.08545441874474	;	0.31860714935135337
0.3122740284207043	;	0.085913658790712	;	0.32040072478501685
0.31458266138908836	;	0.085839332763183	;	0.3269956717225943
0.3066221842772444	;	0.086064535702185	;	0.32105410274838664
0.3066135151978297	;	0.085894819940957	;	0.3284741833317819
0.30068081420080367	;	0.086164254900215	;	0.320664660304425
0.2986599169906206	;	0.085759935845873	;	0.3256070404628541
0.2944406053111928	;	0.086255406139096	;	0.3203809796477239
0.29045292033046144	;	0.085587072295302	;	0.3266816171228226
0.28175403819747447	;	0.085402232089071	;	0.32270674268982114
0.290121675849899	;	0.086734294780933	;	0.314781321963738
0.28423083044912445	;	0.086402915371029	;	0.3141361978682373
0.2765858991752212	;	0.086120285202717	;	0.3134926921638618
0.28757217481737724	;	0.08648488192993	;	0.3079068979758495
0.28717896417170774	;	0.086334279596503	;	0.30169368090441195
0.2894868515625255	;	0.086910812296309	;	0.29508687558398916
0.2936745379441393	;	0.086314772119145	;	0.29095705900544727
0.30057126029636644	;	0.086206945107552	;	0.288718446328651
0.27537226850208524	;	0.086432500564022	;	0.30533724722793376
0.2747602091931366	;	0.086166441937492	;	0.2985258057266412
0.27485240747971806	;	0.086215319544812	;	0.2896785470599997
0.27487431007694235	;	0.086536817861295	;	0.2843470716369132
0.28232337676474056	;	0.086244911629419	;	0.2851425002700328
0.2891849780233464	;	0.086652366292987	;	0.28500759639222467
0.2845728321676611	;	0.086723009132035	;	0.29024033781959313
0.2793698369444516	;	0.086894672941654	;	0.29207611232643216
0.2823423736083221	;	0.086327744031964	;	0.29851016236720956
0.2815573325756351	;	0.086446806363334	;	0.30558133463974607


 Données n°2 ------------------------------------------

Nuage de points : Nuage 2

X	;	Y	;	Z
0.27434440647678776	;	0.21710367537384	;	0.278437415017443
0.273780973180373	;	0.21719693309376	;	0.2887301559039384
0.2755805081768077	;	0.2171845948502	;	0.3020342323124058
0.27571817587013825	;	0.21710030099179	;	0.31324603496633013
0.2812513804638456	;	0.2166560874172	;	0.3218256461675314
0.28744843570303147	;	0.21684578356629	;	0.3256667441265795
0.29476475324010815	;	0.21635499124941	;	0.3282970922368087
0.3020442128585162	;	0.21620154754138	;	0.32925226267218854
0.3076566514984339	;	0.21549168673654	;	0.32679906162826855
0.31337244390793806	;	0.2152003383849	;	0.32420542607402936
0.31882523814342995	;	0.2150001719989	;	0.31967042326931666
0.32131410556162576	;	0.21493192627103	;	0.31527154075749986
0.32435515092156075	;	0.21508901709606	;	0.30773333002949954
0.32591498746029557	;	0.2146886942812	;	0.2977253625277686
0.3260136082103413	;	0.21512377450287	;	0.2874917635684621
0.3256813666488753	;	0.21521971399459	;	0.27853399705005744
0.3187046489196369	;	0.21537324965877	;	0.2756369724541224
0.3142383838984845	;	0.21497169432462	;	0.27793427169832446
0.30705615551957643	;	0.21595382699268	;	0.2780623287072302
0.29345887865096454	;	0.21609656000567	;	0.2771879906866203
0.2876805199745893	;	0.21669125470429	;	0.2783582976399614
0.28077209250643315	;	0.21692211467804	;	0.27706122575849973
0.28123899199200547	;	0.21613683283027	;	0.3021272332169177
0.28469911278060983	;	0.21624838470689	;	0.308558378831881
0.28885365139419084	;	0.2162032865596	;	0.31477701025610516
0.2935120129013271	;	0.2164668672739	;	0.31882846786019864
0.3004089282514678	;	0.21607113454763	;	0.31853086295652916
0.306817717855648	;	0.2160926254824	;	0.31668548579439204
0.30935043795377165	;	0.21589537350601	;	0.3111515931256822
0.3134812670205516	;	0.21554429049958	;	0.30479644870325917
0.3122984007180571	;	0.21574270399767	;	0.29779079312736456
0.30829636352524514	;	0.21589367043281	;	0.2924433599701192
0.3044412880641067	;	0.21571545804056	;	0.28888321665636146
0.292314105622335	;	0.21632635031189	;	0.2863040210137543
0.2860166752345482	;	0.21641394469441	;	0.29118177654192495
0.2824764911315283	;	0.21603155209662	;	0.2951613389760506
0.278918905983551	;	0.21648789155126	;	0.2887563444357978
0.2831191472948446	;	0.21673117518198	;	0.28156336791258657
0.2830051929991313	;	0.21623819727805	;	0.3145027941259538
0.30566446644777845	;	0.21573746148621	;	0.28400482043553354
0.3105788929538671	;	0.21599127759204	;	0.28546147138988087
0.3168730005547781	;	0.21525205382076	;	0.2854073774690035
0.3204297623448733	;	0.21501783595769	;	0.28189744370968217
