Mesures enregistrées le 18/03/24 à 11:05

 Données n°1 ------------------------------------------

Nuage de points : Plan

X        ;        Y        ;        Z
0.2853106862802436        ;        0.12671988640713        ;        0.12861307014985204
0.29179304424449654        ;        0.10894829494171        ;        0.12889798101097233
0.29845879579412177        ;        0.093722643922672        ;        0.12880254025409335
0.30652613768871423        ;        0.080172310175368        ;        0.12909186727931582
0.3137731521260375        ;        0.069233015743149        ;        0.1290488630501207
0.32351453309207895        ;        0.05923236989436        ;        0.12897907413727291
0.3354914144183418        ;        0.05323611957133        ;        0.12804010946464087
0.35454516814772086        ;        0.043187304000018        ;        0.1292271978637499
0.3725139661983089        ;        0.040195039173979        ;        0.12982277670813944
0.39194472508763134        ;        0.040937258336886        ;        0.12925540884709621
0.41098022039639914        ;        0.040428529274708        ;        0.13009192890575313
0.4324172136026688        ;        0.0433538759663        ;        0.1307415086132228
0.4527187523060366        ;        0.049933414470246        ;        0.13121386730795653
0.47253095904248343        ;        0.063608477893847        ;        0.13159563632045515
0.49197415659489124        ;        0.08916633556295        ;        0.13216732317295782
0.5060348548338203        ;        0.11752268356712        ;        0.13366548804330694
0.509918927522463        ;        0.14452067184513        ;        0.13362671960035144
0.5114165605901537        ;        0.16938762670438        ;        0.13412652525612787
0.5057466576058091        ;        0.19644370349327        ;        0.1345994237962398
0.4884404958922989        ;        0.22236089155473        ;        0.13542272088546292
0.497206938931374        ;        0.21094467894645        ;        0.1352050118516244
0.4767385354938056        ;        0.23458704793504        ;        0.13514979211467576
0.4544974749211374        ;        0.24999938591434        ;        0.13510601172690997
0.4321850166310057        ;        0.262861823398        ;        0.1349745293334948
0.4062223008153063        ;        0.26579689802912        ;        0.1346072691034446
0.38394801136296836        ;        0.263809975665        ;        0.13378686657890343
0.3635354053031201        ;        0.25700856756428        ;        0.13319313397096474
0.3438768790474244        ;        0.24935434725435        ;        0.1334200977291147
0.328392878160094        ;        0.23336802376394        ;        0.13201281666119402
0.309713948509577        ;        0.21700937730307        ;        0.13196078992269894
0.29571044154689324        ;        0.197056120471        ;        0.1305359826521734
0.289811958590474        ;        0.17712007240853        ;        0.13078701583333602
0.2843498083133621        ;        0.15549812166071        ;        0.1301844763096927
0.36284629508409183        ;        0.18613385149323        ;        0.13242074260206457
0.35234436975674593        ;        0.17073353462915        ;        0.13181030286875556
0.349391136882091        ;        0.1521677929414        ;        0.13102789031189221
0.3503909909131975        ;        0.13521511704594        ;        0.13097944151407284
0.3583791432916428        ;        0.12091767909186        ;        0.13170339103279372
0.3770417496855456        ;        0.10692508670948        ;        0.13105466266300833
0.39840054294299887        ;        0.097983178696662        ;        0.1310285060391461
0.41973020265051153        ;        0.10544654856338        ;        0.13128149482826965
0.4335399050051267        ;        0.11535522604484        ;        0.1314327962938428
0.441860060224066        ;        0.132367912127        ;        0.13341971465626404
0.45268578318276664        ;        0.15219913381083        ;        0.13312167706237588
0.44601537319485907        ;        0.17645334384142        ;        0.13291052767623723
0.43077218953643237        ;        0.18808757349811        ;        0.13382506330687408
0.4125635748023136        ;        0.19721525082336        ;        0.13351572757405206
0.3874264034009892        ;        0.19545251612367        ;        0.13316920083258008
0.37517612145311857        ;        0.19418811862114        ;        0.13257800589881505
0.3066600852937005        ;        0.19375517880151        ;        0.13111575200663053
0.3230746416820492        ;        0.20269504776651        ;        0.13168938041948985
0.3458989359460731        ;        0.19243265248194        ;        0.13200358719624258
0.33419794942130254        ;        0.19518319009762        ;        0.1319166315384075
0.329625668143734        ;        0.21902817460099        ;        0.13249909276675115
0.3416856377807096        ;        0.21111943143704        ;        0.1318724542343915
0.3598134349327503        ;        0.19901807526306        ;        0.13198178453984927
0.3643406864729534        ;        0.20195493870769        ;        0.13238444597747445
0.38194098164251844        ;        0.20743662788118        ;        0.13321431381316604
0.3703674196228815        ;        0.22557604196467        ;        0.1327731178509186
0.3550689904254629        ;        0.21184750376084        ;        0.13261379175521656
0.34489086669937286        ;        0.22953255601202        ;        0.13287187380295307
0.3638393796440427        ;        0.23939643178259        ;        0.13307269554444534
0.37889269061567354        ;        0.24662128955696        ;        0.13377963413148505
0.39961601369905747        ;        0.25253640621009        ;        0.13371992678842323
0.4207237497663008        ;        0.25138643135042        ;        0.13445689928984172
0.425517270958537        ;        0.23368693489872        ;        0.13399861426713436
0.4221975902895013        ;        0.21726253076523        ;        0.13412871238294816
0.4014251779813409        ;        0.20388314534056        ;        0.13294936525675116
0.43941911429256325        ;        0.23841002802838        ;        0.13505025083887437
0.45652143027264663        ;        0.22517822169214        ;        0.13515694668891412
0.4395057481785335        ;        0.21761159333439        ;        0.13388231797941022
0.43213490108664276        ;        0.20130150503135        ;        0.13358123668792649
0.4440000695568735        ;        0.19246594090063        ;        0.13414681860426061
0.4535340185143466        ;        0.20485729586039        ;        0.13396554217090534
0.47049842991585716        ;        0.21186912004102        ;        0.13464333067894224
0.4894208632117649        ;        0.1987901368171        ;        0.13494599287760092
0.4689788240530796        ;        0.19523575460956        ;        0.13415381429601111
0.4562781658973738        ;        0.18592422125172        ;        0.13408924992250723
0.45698546868982565        ;        0.16432708376045        ;        0.13341722972792994
0.4657215178656153        ;        0.15271073847587        ;        0.13326902208002833
0.4846032193493094        ;        0.1507260994736        ;        0.1333867632128864
0.49891255822790503        ;        0.15700552927175        ;        0.13416677889372097
0.49754765669102763        ;        0.17997242518169        ;        0.1341435904621854
0.4906591917737163        ;        0.13281333423        ;        0.13345000767094375
0.45911931639795817        ;        0.13771641046786        ;        0.13273190838522145
