Mesures enregistrées le 02/04/23 à 16:04

 Données n°1 ------------------------------------------

Nuage de points : Nuage 1

X	;	Y	;	Z
0.3465481174392636	;	0.071607076752064	;	0.12012780432998962
0.35122909489459436	;	0.068234889284238	;	0.12014787528234712
0.3552325437119585	;	0.064611082010013	;	0.12023208499625855
0.36002195382672403	;	0.062008449849765	;	0.12032760896900291
0.3650884905696937	;	0.06189293988612	;	0.12049903188371296
0.37209052928045044	;	0.070549683358625	;	0.1202932208396777
0.3620023975886426	;	0.073346789604377	;	0.12053155425274202
0.3500108223916031	;	0.075862621028816	;	0.12003724443304187
0.3437396075473101	;	0.083790249361222	;	0.11963070808261275
0.3399628423683933	;	0.078697560746604	;	0.11969207960158054
0.3343784279652324	;	0.086115592245736	;	0.11960847096509644
0.338775196677001	;	0.09112382411125	;	0.11906682246975736
0.3336590067090012	;	0.094532446793224	;	0.11927996154305874
0.3289934130289097	;	0.10362703241982	;	0.11914742934596056
0.32478834410532204	;	0.093095493706334	;	0.11898125972636067
0.3344087992224396	;	0.078777925850272	;	0.11940407918019186
0.32805801095833154	;	0.086600816800619	;	0.11887886073800275
0.3212628380931119	;	0.097394437426628	;	0.11915711789268056
0.3155797921816214	;	0.10463060958333	;	0.1189287326486296
0.3236925877372296	;	0.10552941238157	;	0.1190910295368037
0.3248817110684086	;	0.11502408833825	;	0.11953117656515926
0.31711619936285435	;	0.12035888559552	;	0.11869086258040018
0.31323950345284346	;	0.11312315408609	;	0.11922409410984668
0.3123219432856718	;	0.11878591374441	;	0.11863935075023539
0.31300356380475847	;	0.12396870229314	;	0.11879670234893724
0.3122426510417573	;	0.13151620343067	;	0.11834921980251045
0.3201923909998922	;	0.12678279156908	;	0.11865668584056337
0.3177427724774175	;	0.13350101094219	;	0.11827483266419735
0.30851322705045847	;	0.13533447101207	;	0.11841685864103686
0.3076852442357938	;	0.12724328557649	;	0.11810367073166603
0.30807770690376773	;	0.1428039790907	;	0.11770365394426215
0.30943257208642877	;	0.14891086456678	;	0.11802036053196399
0.31795526156331394	;	0.1514083251339	;	0.11750231436624259
0.31625149476134573	;	0.15883868856303	;	0.1179429495735952
0.31000933250177437	;	0.15534497611931	;	0.11789715450637447
0.32304053584862014	;	0.13597949258883	;	0.11766346292551695
0.3176000905038972	;	0.11018360588199	;	0.11937570768010365
0.31918148611937674	;	0.11493951026493	;	0.11921289477112132
0.3065753742111333	;	0.16492210467788	;	0.11781648047711155
0.3156821270695325	;	0.16581580327107	;	0.11773331528722246
0.3217896455200148	;	0.1661514638105	;	0.11801386043778964
0.3215761416015768	;	0.15963020471773	;	0.11787346185185206
0.3192208251941447	;	0.17224282477842	;	0.11785394459328248
0.3104999076352393	;	0.17237779162068	;	0.1181290314272328
0.31039286966429347	;	0.18059307370274	;	0.1173944765258487
0.31589005946622706	;	0.18391885305627	;	0.11769932380604554
0.3200956495702391	;	0.17721369142776	;	0.11831124663176008
0.3263080168990968	;	0.17997860644212	;	0.11820182238009039
0.3247130317312402	;	0.17123981431803	;	0.1181102856424871
0.32604969296130637	;	0.18764263959726	;	0.117651556311132
0.32235538950698833	;	0.19491939829531	;	0.11709985977609311
0.32016515117881683	;	0.18738646613487	;	0.11750811092666356
0.3315389495983271	;	0.19015326633313	;	0.11756525251340166
0.33144855685168845	;	0.18407016018363	;	0.1178188511619654
0.33744597084490097	;	0.19748348757194	;	0.11699895666181634
0.33838795302148406	;	0.18922362930734	;	0.11691398900553997
0.3311161673295001	;	0.19576170161896	;	0.11722398617580759
0.32917929755325426	;	0.20124152703384	;	0.11730686181061428
0.33553867772612933	;	0.20826904550738	;	0.11720028049340522
0.33610510784279174	;	0.20326560276417	;	0.11714996624811225
0.3412652704694904	;	0.203175358291	;	0.11722245897481949
0.3437453347331141	;	0.20770265876618	;	0.11720104160232732
0.34057901281273306	;	0.21168052344255	;	0.11742937102703008
0.34888654346945697	;	0.21474241305777	;	0.11803376780882016
0.3464226976290076	;	0.20060677583566	;	0.11725549378458008
0.3426770436873572	;	0.19642226416861	;	0.11732352122317041
0.3502769010711406	;	0.20936948061756	;	0.11721419393533818
0.3555409282115345	;	0.20822074970931	;	0.11736683912110522
0.35738181193518054	;	0.21400199402086	;	0.11754533136921907
0.3558735969012206	;	0.21990436844229	;	0.11735587112446125
0.34729001354320216	;	0.22038643094955	;	0.11734224880380609
0.357533892741472	;	0.22529446032918	;	0.11698766946308839
0.36373259602167834	;	0.22891371874479	;	0.11711439588143989
0.36256146828790137	;	0.21993281905517	;	0.11697632363507805
0.3628464512509365	;	0.2144244642561	;	0.11680075796867012
0.36751046339349047	;	0.22137449512305	;	0.11695796625318625
0.36819040752232984	;	0.22662037524547	;	0.11745337017958
0.373472790973045	;	0.23300356981238	;	0.11702290175141437
0.37308781328348595	;	0.21898532037485	;	0.1170287755367395
0.3731956153505785	;	0.22426398828147	;	0.11733610142115843
0.37962659501158996	;	0.2337508350615	;	0.11697015360717682
0.3806021486636494	;	0.22823880823103	;	0.1174003552077924
0.3780300794974865	;	0.22146795793941	;	0.11806452242740023
0.3829043112930177	;	0.22004329061486	;	0.11823490532752177
0.3873970589089676	;	0.23330241697158	;	0.11727777228079056
0.3857460164057132	;	0.22766262774827	;	0.11774359371356775
0.38903584993657503	;	0.22350362249742	;	0.11813101415382901
0.39567785167844627	;	0.23484350565674	;	0.11729642999533425
0.39325623431318474	;	0.22014610118921	;	0.11773884667015337
0.40574263256741167	;	0.22062597918453	;	0.11783605540115039
0.410662572130598	;	0.23117515025438	;	0.11752675952735675
0.4049813167872138	;	0.24057684269829	;	0.11671935651054514
0.4089191191032355	;	0.23625819783133	;	0.11744360750969843
0.4162558329463679	;	0.234727365359	;	0.11752741179208395
0.41520281861869496	;	0.22356044155639	;	0.11802295214817352
0.416751326835208	;	0.21754909278306	;	0.11769928882653345
0.42360642004520815	;	0.23373244706297	;	0.11746303553591876
0.42540453371105463	;	0.22615802310962	;	0.11804217863150056
0.4237399281027707	;	0.21750439055735	;	0.11805880252209544
0.43179682500597955	;	0.2257524617757	;	0.11775475983830105
