Mesures enregistrées le 23/05/23 à 22:56

 Données n°1 ------------------------------------------

Nuage de points : Nuage 1

X	;	Y	;	Z
0.41528142786719613	;	0.080837481061445	;	0.17255814453352245
0.42405035349358056	;	0.080634874162197	;	0.17733663932897348
0.4340161408920004	;	0.080440382054628	;	0.1798004818141935
0.44548463908846764	;	0.080981336851558	;	0.18138063850340558
0.45173871938432003	;	0.080834479968588	;	0.17938157700681423
0.459117736544558	;	0.081412216442685	;	0.17786608536708334
0.4654959360316695	;	0.081882909016926	;	0.17300524924983793
0.4703182384407735	;	0.082367451178058	;	0.1664983667574707
0.4761048426348691	;	0.082522994500617	;	0.16086422836767614
0.4790010036365172	;	0.082768787325706	;	0.15362403684385367
0.47887982543778085	;	0.08367915200945	;	0.14290756802018365
0.4763836791484742	;	0.0839956041941	;	0.13247777904243657
0.4803424317388593	;	0.083327221980799	;	0.1368767485428077
0.48071593379966804	;	0.083296709072291	;	0.12846573610675172
0.4819156313787998	;	0.08333713189743	;	0.1221912169388023
0.48004249691927	;	0.084232332002196	;	0.11489627365244919
0.48183092562638025	;	0.084468283421307	;	0.10899808532733894
0.4829315948851103	;	0.08476850809361	;	0.10237297821520976
0.4827620852483697	;	0.084865170632649	;	0.09453403964307502
0.47514223113328374	;	0.08526326651698	;	0.09322944467173866
0.4665458630423427	;	0.085636937416638	;	0.09390732367560045
0.4541065632319852	;	0.085511592566784	;	0.09258760826289801
0.44293090299249216	;	0.085473022357715	;	0.09356395430746473
0.43362477456270215	;	0.085414162190461	;	0.09322251917613258
0.42223913212464237	;	0.085137962335065	;	0.09397701367789447
0.4130358646448601	;	0.084971863976276	;	0.09497464426292222
0.40025480656849954	;	0.084693673590532	;	0.0941806570977823
0.39478401288273784	;	0.084627609072701	;	0.09908951771108437
0.39457944565544395	;	0.084290762150977	;	0.10772727845169335
0.39598477963961126	;	0.08397791122438	;	0.11308316268103473
0.3964899945242381	;	0.083367866130564	;	0.11830206323356249
0.39694569469538243	;	0.082678952055534	;	0.12395839987398012
0.3968760616323949	;	0.082637950412472	;	0.1333317134887401
0.39785949490137423	;	0.082718960702223	;	0.14236311781450328
0.39954527448452687	;	0.082168462481257	;	0.14949711020585973
0.40249725640136436	;	0.082111373954734	;	0.15808604672228804
0.40216425851179627	;	0.082861714293795	;	0.13408468515173208
0.4062715130737316	;	0.082919068081613	;	0.12840087448372556
0.4089053859360888	;	0.082951515064274	;	0.12325798094853217
0.41406282200304134	;	0.083594974765017	;	0.11635179587207754
0.4211666669179208	;	0.084311720546508	;	0.11372945975058135
0.4264618384277199	;	0.084707768548816	;	0.10978349563957525
0.4351440927781769	;	0.084808092786663	;	0.10901144063331393
0.4424249046338942	;	0.085055796635443	;	0.10709729230321405
0.4484108773753036	;	0.085093048361812	;	0.10960799527574454
0.45694947157083343	;	0.0850288358561	;	0.10942097604147934
0.4611588051399451	;	0.085426136352185	;	0.11249510992646282
0.4669867512010726	;	0.084775380340443	;	0.12011420341213788
0.47374831750593066	;	0.084721739040621	;	0.1072162343052574
0.4633632739649626	;	0.085333417042632	;	0.10615815732211305
0.46840327858523206	;	0.085351145927061	;	0.10038319647787905
0.4600390699379458	;	0.085409802733995	;	0.09866271628801195
0.4545946829460879	;	0.085316881934942	;	0.10371820295921645
0.4496012346161842	;	0.084966033894307	;	0.0987730448521347
0.4396947825980204	;	0.085580180727108	;	0.1000886835643151
0.43117401843353104	;	0.084707191060515	;	0.10053455519643302
0.42192580902829696	;	0.085155106130684	;	0.10038586959176916
0.41633904041317255	;	0.084518123904769	;	0.10471645799256205
